Store,Temperature,Rain,Snowfall,Wind Speed,Wind Direction,Is Day or Night
2070,4.8,0.0,0.0,6.9,47,Night
2071,4.8,0.0,0.0,6.9,47,Night
4359,2.3,0.0,0.0,9.1,7,Night
2188,1.7,0.0,0.0,9.1,7,Night
2722,-1.6,0.0,0.0,8.6,68,Night
4474,3.4,0.0,0.0,31.1,30,Night
2710,8.8,0.5,0.0,10.8,116,Night
2711,6.3,0.0,0.0,7.6,161,Night
2074,4.1,0.0,0.0,18.2,52,Night
1158,20.4,0.0,0.0,9.0,90,Night
726,18.5,0.0,0.0,8.9,76,Night
329,17.7,0.0,0.0,7.1,105,Night
306,18.3,0.0,0.0,8.3,72,Night
661,20.3,0.0,0.0,13.5,46,Night
316,18.3,0.0,0.0,6.3,59,Night
356,21.4,0.0,0.0,10.1,63,Night
4673,21.2,0.0,0.0,10.1,63,Night
5062,21.1,0.0,0.0,10.3,65,Night
762,21.8,0.0,0.0,8.3,85,Night
1711,21.8,0.0,0.0,8.3,85,Night
2713,17.9,0.0,0.0,7.6,82,Night
3424,18.9,0.0,0.0,8.2,67,Night
4504,20.8,0.0,0.0,8.6,88,Night
5100,19.0,0.0,0.0,8.3,90,Night
298,18.3,0.0,0.0,12.0,69,Night
5126,17.8,0.0,0.0,6.2,69,Night
4330,18.7,0.0,0.0,7.8,56,Night
670,18.9,0.0,0.0,10.8,75,Night
7280,18.4,0.0,0.0,10.8,75,Night
662,19.9,0.0,0.0,8.9,63,Night
2488,21.5,0.0,0.0,11.2,48,Night
604,21.9,0.0,0.0,18.2,65,Night
2534,21.9,0.0,0.0,18.2,65,Night
1052,19.6,0.0,0.0,9.0,74,Night
766,20.1,0.0,0.0,13.7,55,Night
4187,20.2,0.0,0.0,13.7,55,Night
4188,20.3,0.0,0.0,13.7,55,Night
691,18.7,0.0,0.0,8.5,54,Night
301,18.3,0.0,0.0,6.5,56,Night
1201,20.2,0.0,0.0,8.6,88,Night
681,18.4,0.0,0.0,11.4,72,Night
409,18.0,0.0,0.0,9.1,72,Night
1100,19.7,0.0,0.0,9.9,80,Night
1124,19.8,0.0,0.0,8.9,63,Night
6878,21.2,0.0,0.0,10.7,42,Night
1481,20.9,0.0,0.0,8.6,88,Night
2111,20.8,0.0,0.0,7.5,73,Night
3184,21.0,0.0,0.0,8.6,88,Night
4497,21.6,0.0,0.0,9.7,90,Night
332,20.3,0.0,0.0,10.1,35,Night
375,21.4,0.0,0.0,6.6,41,Night
433,21.3,0.0,0.0,6.6,41,Night
434,19.5,0.0,0.0,4.5,76,Night
3185,21.3,0.0,0.0,6.6,41,Night
5716,19.4,0.0,0.0,4.3,85,Night
5925,21.4,0.0,0.0,6.6,41,Night
7324,22.4,0.0,0.0,8.7,38,Night
300,17.9,0.0,0.0,6.9,99,Night
287,19.0,0.0,0.0,8.0,85,Night
562,18.2,0.0,0.0,7.6,59,Night
2690,20.4,0.0,0.0,10.1,35,Night
5703,20.4,0.0,0.0,10.1,35,Night
7342,20.1,0.0,0.0,10.1,35,Night
394,19.3,0.0,0.0,9.8,62,Night
660,20.1,0.0,0.0,11.6,60,Night
2306,22.7,0.0,0.0,12.0,81,Night
5248,22.9,0.0,0.0,12.3,83,Night
315,18.3,0.0,0.0,7.6,85,Night
355,21.1,0.0,0.0,10.3,65,Night
5197,19.4,0.0,0.0,4.3,85,Night
809,17.8,0.0,0.0,7.4,104,Night
5113,18.4,0.0,0.0,7.7,62,Night
1284,22.7,0.0,0.0,12.7,75,Night
5903,22.6,0.0,0.0,12.7,75,Night
863,17.8,0.0,0.0,8.1,69,Night
403,19.1,0.0,0.0,9.4,67,Night
712,20.3,0.0,0.0,8.0,63,Night
3386,18.3,0.0,0.0,7.3,79,Night
2723,19.1,0.0,0.0,8.3,88,Night
730,19.1,0.0,0.0,8.3,92,Night
432,18.7,0.0,0.0,7.6,85,Night
1057,22.6,0.0,0.0,13.2,64,Night
715,22.9,0.0,0.0,12.3,83,Night
5256,22.4,0.0,0.0,12.3,83,Night
733,21.5,0.0,0.0,8.5,78,Night
4580,21.2,0.0,0.0,8.6,88,Night
362,19.1,0.0,0.0,10.0,64,Night
358,21.6,0.0,0.0,11.9,85,Night
318,21.7,0.0,0.0,10.2,80,Night
160,17.8,0.0,0.0,7.8,77,Night
133,23.2,0.0,0.0,10.5,86,Night
119,18.3,0.0,0.0,5.2,78,Night
4168,19.8,0.0,0.0,10.6,62,Night
85,19.7,0.0,0.0,8.8,81,Night
100,18.9,0.0,0.0,12.4,120,Night
2203,19.0,0.0,0.0,12.4,120,Night
2686,19.0,0.0,0.0,12.4,120,Night
2741,19.0,0.0,0.0,12.4,120,Night
3164,19.0,0.0,0.0,12.4,120,Night
4376,19.1,0.0,0.0,12.4,120,Night
4686,19.0,0.0,0.0,12.4,120,Night
76,18.0,0.0,0.0,5.5,122,Night
62,20.3,0.0,0.0,12.0,69,Night
55,21.5,0.0,0.0,8.6,112,Night
3230,19.7,0.0,0.0,8.3,85,Night
2587,19.9,0.0,0.0,10.6,66,Night
6975,19.9,0.0,0.0,10.6,66,Night
171,20.6,0.0,0.0,8.0,80,Night
6953,19.1,0.0,0.0,12.4,120,Night
66,20.3,0.0,0.0,9.5,81,Night
788,17.7,0.0,0.0,5.9,52,Night
5,19.6,0.0,0.0,8.7,83,Night
2575,19.7,0.0,0.0,8.7,83,Night
3168,19.6,0.0,0.0,8.7,83,Night
167,20.5,0.0,0.0,9.2,69,Night
296,20.0,0.0,0.0,7.8,77,Night
279,22.4,0.0,0.0,9.3,77,Night
530,20.6,0.0,0.0,8.5,78,Night
7242,19.6,0.0,0.0,12.3,122,Night
144,19.5,0.0,0.0,12.3,122,Night
359,18.7,0.0,0.0,11.3,112,Night
2745,18.3,0.0,0.0,11.3,112,Night
2997,19.2,0.0,0.0,12.3,122,Night
4516,19.4,0.0,0.0,12.3,122,Night
5737,19.5,0.0,0.0,12.3,122,Night
1147,18.4,0.0,0.0,5.8,112,Night
339,20.2,0.0,0.0,8.7,83,Night
91,20.3,0.0,0.0,13.7,60,Night
125,21.9,0.0,0.0,11.6,85,Night
141,21.6,0.0,0.0,9.7,90,Night
388,21.5,0.0,0.0,10.1,84,Night
2744,21.5,0.0,0.0,9.7,90,Night
4579,21.9,0.0,0.0,11.6,85,Night
7317,19.6,0.0,0.0,10.0,75,Night
3231,21.9,0.0,0.0,9.2,101,Night
2,17.6,0.0,0.0,9.2,116,Night
281,18.3,0.0,0.0,8.0,72,Night
1065,20.9,0.0,0.0,9.1,83,Night
52,19.2,0.0,0.0,8.3,72,Night
261,19.4,0.0,0.0,8.3,72,Night
5789,19.5,0.0,0.0,8.2,75,Night
5790,19.2,0.0,0.0,8.3,72,Night
5433,18.8,0.0,0.0,8.0,80,Night
373,19.5,0.0,0.0,12.3,122,Night
24,19.8,0.0,0.0,9.1,72,Night
45,19.9,0.0,0.0,12.6,63,Night
128,19.8,0.0,0.0,12.6,63,Night
6876,20.0,0.0,0.0,12.6,63,Night
6943,20.0,0.0,0.0,12.6,63,Night
124,20.0,0.0,0.0,8.3,90,Night
126,21.0,0.0,0.0,8.0,82,Night
5244,19.4,0.0,0.0,6.2,80,Night
5706,19.8,0.0,0.0,7.6,82,Night
169,20.5,0.0,0.0,12.4,68,Night
83,20.8,0.0,0.0,8.7,83,Night
127,19.9,0.0,0.0,7.9,74,Night
4654,20.5,0.0,0.0,14.5,60,Night
289,21.1,0.0,0.0,12.4,80,Night
67,20.6,0.0,0.0,8.6,92,Night
348,20.3,0.0,0.0,8.5,78,Night
8,19.1,0.0,0.0,7.9,87,Night
11,17.1,0.0,0.0,7.1,105,Night
1114,17.7,0.0,0.0,4.0,85,Night
33,21.5,0.0,0.0,10.5,82,Night
18,19.9,0.0,0.0,10.0,60,Night
1105,20.7,0.0,0.0,9.6,77,Night
4460,19.6,0.0,0.0,6.7,74,Night
74,20.1,0.0,0.0,12.3,75,Night
209,21.0,0.0,0.0,12.8,80,Night
36,21.0,0.0,0.0,11.6,60,Night
5780,21.0,0.0,0.0,11.6,60,Night
230,20.9,0.0,0.0,9.7,92,Night
6971,18.2,0.0,0.0,14.7,118,Night
3331,20.5,0.0,0.0,10.2,82,Night
71,19.1,0.0,0.0,10.2,51,Night
1,18.1,0.0,0.0,11.8,117,Night
3479,17.9,0.0,0.0,9.8,114,Night
3654,18.0,0.0,0.0,11.8,117,Night
5260,18.0,0.0,0.0,9.8,114,Night
5837,19.2,0.0,0.0,13.7,117,Night
58,19.7,0.0,0.0,7.3,81,Night
4128,19.7,0.0,0.0,7.3,81,Night
157,20.0,0.0,0.0,12.1,63,Night
2431,19.7,0.0,0.0,11.4,62,Night
336,20.7,0.0,0.0,8.7,85,Night
7,19.4,0.0,0.0,7.6,71,Night
2743,19.4,0.0,0.0,7.6,71,Night
4,20.6,0.0,0.0,15.1,118,Night
6960,20.5,0.0,0.0,15.1,118,Night
54,18.4,0.0,0.0,11.3,112,Night
2742,19.3,0.0,0.0,13.9,115,Night
4108,19.4,0.0,0.0,13.9,115,Night
4375,19.2,0.0,0.0,13.9,115,Night
5738,18.4,0.0,0.0,11.3,112,Night
102,20.6,0.0,0.0,12.1,78,Night
468,22.0,0.0,0.0,12.6,93,Night
229,20.2,0.0,0.0,12.4,68,Night
16,21.4,0.0,0.0,10.1,84,Night
57,19.6,0.0,0.0,11.4,55,Night
714,20.4,0.0,0.0,11.5,88,Night
70,20.5,0.0,0.0,14.5,60,Night
68,20.2,0.0,0.0,13.7,60,Night
5329,11.5,0.0,0.0,9.5,81,Night
1381,10.6,0.0,0.0,5.2,56,Night
2554,12.0,0.0,0.0,8.6,292,Night
3807,6.5,0.0,0.0,5.8,360,Night
3407,9.7,0.0,0.0,11.5,328,Night
1370,9.2,0.0,0.0,10.7,348,Night
1218,10.2,0.0,0.0,4.9,343,Night
5835,11.0,0.0,0.0,3.3,13,Night
1512,16.6,0.0,0.0,3.4,252,Night
2671,16.6,0.0,0.0,3.4,252,Night
3360,16.5,0.0,0.0,3.4,252,Night
4324,16.6,0.0,0.0,3.4,252,Night
6480,16.3,0.0,0.0,5.2,258,Night
1334,4.1,0.0,0.0,2.3,72,Night
2778,9.8,0.0,0.0,1.5,104,Night
1299,4.5,0.0,0.0,3.4,252,Night
1846,9.9,0.0,0.0,5.6,297,Night
4336,11.7,0.0,0.0,11.2,303,Night
1175,-3.8,0.0,0.0,8.8,12,Night
4252,-3.1,0.0,0.0,4.6,342,Night
4203,9.2,0.0,0.0,10.7,348,Night
3861,11.3,0.0,0.0,0.8,243,Night
5186,16.4,0.0,0.0,3.4,252,Night
1532,15.4,0.0,0.0,9.0,270,Night
3241,14.7,0.0,0.0,11.3,292,Night
3314,15.4,0.0,0.0,11.2,291,Night
3315,15.4,0.0,0.0,9.0,270,Night
3465,15.6,0.0,0.0,11.2,291,Night
3844,16.1,0.0,0.0,10.1,272,Night
3845,16.1,0.0,0.0,10.1,272,Night
5124,16.1,0.0,0.0,10.1,272,Night
3604,11.9,0.0,0.0,8.6,292,Night
5369,12.0,0.0,0.0,8.6,292,Night
1411,7.7,0.0,0.0,11.1,283,Night
2051,2.9,0.0,0.0,8.0,63,Night
1364,10.6,0.0,0.0,10.1,343,Night
4430,10.7,0.0,0.0,7.2,288,Night
1646,15.4,0.0,0.0,4.7,9,Night
2482,16.4,0.0,0.0,6.6,299,Night
2767,15.4,0.0,0.0,4.7,9,Night
2768,16.6,0.0,0.0,3.4,252,Night
3799,16.6,0.0,0.0,3.4,252,Night
3833,10.0,0.0,0.0,2.9,60,Night
3846,14.8,0.0,0.0,7.4,337,Night
5257,15.4,0.0,0.0,4.7,9,Night
5304,16.5,0.0,0.0,3.4,252,Night
5349,11.1,0.0,0.0,0.8,243,Night
5428,16.4,0.0,0.0,3.4,252,Night
5332,14.9,0.0,0.0,7.4,337,Night
1324,7.2,0.0,0.0,2.2,279,Night
3379,13.0,0.0,0.0,4.3,294,Night
4264,8.3,0.0,0.0,4.7,23,Night
1442,2.2,0.0,0.0,6.3,294,Night
4543,10.7,0.0,0.0,9.0,307,Night
1369,1.2,0.0,0.0,8.4,31,Night
1533,15.4,0.0,0.0,11.2,291,Night
3896,14.6,0.0,0.0,11.3,292,Night
4275,15.3,0.0,0.0,11.2,291,Night
1549,14.2,0.0,0.0,8.0,278,Night
1598,15.1,0.0,0.0,8.1,249,Night
2113,16.1,0.0,0.0,10.1,272,Night
2512,15.2,0.0,0.0,9.0,270,Night
2515,16.3,0.0,0.0,7.6,273,Night
2632,16.0,0.0,0.0,9.3,257,Night
3771,14.7,0.0,0.0,7.9,270,Night
4232,15.8,0.0,0.0,9.3,257,Night
4233,15.1,0.0,0.0,9.0,270,Night
4293,13.2,0.0,0.0,6.5,270,Night
5189,14.5,0.0,0.0,7.9,270,Night
5190,15.0,0.0,0.0,9.0,270,Night
5330,16.1,0.0,0.0,10.1,272,Night
5331,14.3,0.0,0.0,8.0,278,Night
6477,15.9,0.0,0.0,10.1,272,Night
1417,-0.2,0.0,0.0,4.7,270,Night
5303,-0.5,0.0,0.0,3.4,252,Night
3730,0.6,0.0,0.0,7.3,261,Night
4451,10.1,0.0,0.0,3.4,162,Night
1149,9.3,0.0,0.0,10.0,308,Night
4337,12.8,0.0,0.0,12.2,358,Night
3751,9.7,0.0,0.0,2.4,117,Night
2112,16.0,0.0,0.0,7.4,293,Night
2766,15.5,0.0,0.0,7.4,293,Night
1230,-4.4,0.0,0.0,8.6,123,Night
1240,7.5,0.0,0.0,10.8,270,Night
2777,11.9,0.0,0.0,13.0,304,Night
4218,11.9,0.0,0.0,13.0,304,Night
5429,11.6,0.0,0.0,11.2,303,Night
4355,-0.9,0.0,0.0,7.4,203,Night
1746,16.2,0.0,0.0,5.2,258,Night
5768,16.5,0.0,0.0,6.6,299,Night
1291,12.0,0.0,0.0,10.9,279,Night
1325,11.7,0.0,0.0,6.0,303,Night
1612,12.1,0.0,0.0,10.9,279,Night
2922,11.5,0.0,0.0,6.0,303,Night
3049,10.5,0.0,0.0,8.3,275,Night
3143,13.1,0.0,0.0,4.3,294,Night
3357,12.2,0.0,0.0,10.9,279,Night
3377,12.1,0.0,0.0,10.9,279,Night
3884,13.3,0.0,0.0,4.3,294,Night
4473,11.8,0.0,0.0,6.0,303,Night
4490,12.0,0.0,0.0,10.9,279,Night
4603,10.7,0.0,0.0,8.3,275,Night
5031,7.9,0.0,0.0,5.8,360,Night
5626,12.1,0.0,0.0,10.9,279,Night
5725,11.6,0.0,0.0,6.0,303,Night
5799,7.9,0.0,0.0,9.8,278,Night
5858,7.7,0.0,0.0,7.3,290,Night
1328,3.7,0.0,0.0,12.3,232,Night
1474,11.5,0.0,0.0,14.1,13,Night
4325,11.6,0.0,0.0,13.6,12,Night
5342,11.7,0.0,0.0,14.1,13,Night
7320,10.8,0.0,0.0,13.4,6,Night
1651,14.5,0.0,0.0,2.0,315,Night
2242,17.2,0.0,0.0,5.4,8,Night
3101,17.4,0.0,0.0,7.3,340,Night
5640,17.1,0.0,0.0,5.4,8,Night
5930,17.2,0.0,0.0,3.6,37,Night
5133,6.9,0.0,0.0,5.1,356,Night
1881,11.5,0.0,0.0,5.0,90,Night
2697,11.4,0.0,0.0,3.6,225,Night
2333,3.8,0.0,0.0,7.1,131,Night
2556,11.7,0.0,0.0,6.9,62,Night
5890,9.7,0.0,0.0,3.7,349,Night
1574,10.2,0.0,0.0,4.2,70,Night
1624,10.4,0.0,0.0,12.8,106,Night
2557,10.1,0.0,0.0,9.9,100,Night
3138,10.2,0.0,0.0,9.9,100,Night
3139,10.2,0.0,0.0,4.6,51,Night
3140,10.1,0.0,0.0,9.9,100,Night
3141,8.0,0.0,0.0,4.4,125,Night
5134,10.2,0.0,0.0,4.2,70,Night
3522,17.3,0.0,0.0,3.3,49,Night
1879,7.8,0.0,0.0,5.2,286,Night
5156,8.6,0.0,0.0,12.9,54,Night
5335,13.1,0.0,0.0,3.4,72,Night
2523,16.8,0.0,0.0,3.6,37,Night
5032,17.3,0.0,0.0,7.3,340,Night
5686,16.9,0.0,0.0,4.3,360,Night
1859,14.0,0.0,0.0,2.9,330,Night
5664,15.5,0.0,0.0,7.6,335,Night
5981,12.7,0.0,0.0,6.1,93,Night
5602,17.2,0.0,0.0,9.7,309,Night
1983,10.5,0.0,0.0,1.8,349,Night
2082,17.6,0.0,0.0,3.3,13,Night
2044,9.1,0.0,0.0,3.8,73,Night
3464,16.4,0.0,0.0,2.3,51,Night
2291,17.9,0.0,0.0,2.6,34,Night
3516,16.8,0.0,0.0,4.8,63,Night
3947,17.3,0.0,0.0,2.6,34,Night
5305,17.9,0.0,0.0,2.6,34,Night
3712,12.7,0.0,0.0,6.1,93,Night
4759,12.6,0.0,0.0,6.1,93,Night
2251,17.0,0.0,0.0,3.1,54,Night
1979,8.0,0.0,0.0,5.2,326,Night
2277,13.9,0.0,0.0,5.8,30,Night
5337,11.9,0.0,0.0,6.1,40,Night
5633,11.9,0.0,0.0,6.1,40,Night
2826,11.2,0.0,0.0,4.1,15,Night
1692,14.5,0.0,0.0,5.7,55,Night
5807,17.3,0.0,0.0,4.8,297,Night
1912,13.9,0.0,0.0,2.2,81,Night
2842,13.5,0.0,0.0,2.2,81,Night
2292,17.0,0.0,0.0,3.3,49,Night
1910,8.6,0.0,0.0,5.8,86,Night
5215,9.8,0.0,0.0,5.4,53,Night
4762,15.9,0.0,0.0,2.3,51,Night
5394,8.0,0.0,0.0,5.4,82,Night
5139,10.7,0.0,0.0,5.4,274,Night
4132,17.5,0.0,0.0,3.9,326,Night
5603,17.5,0.0,0.0,3.9,326,Night
2401,17.0,0.0,0.0,3.3,49,Night
2253,13.9,0.0,0.0,7.2,63,Night
3524,16.5,0.0,0.0,2.9,60,Night
4169,16.9,0.0,0.0,5.3,62,Night
1555,13.0,0.0,0.0,2.5,45,Night
1697,11.1,0.0,0.0,5.8,97,Night
5683,11.1,0.0,0.0,5.8,97,Night
5848,11.1,0.0,0.0,5.8,97,Night
5886,13.8,0.0,0.0,4.8,132,Night
3084,11.6,0.0,0.0,4.7,90,Night
5996,11.6,0.0,0.0,4.7,90,Night
5629,8.9,0.0,0.0,8.3,124,Night
2048,10.5,0.0,0.0,4.8,297,Night
1760,9.6,0.0,0.0,7.0,78,Night
1756,13.8,0.0,0.0,5.7,55,Night
2218,13.7,0.0,0.0,7.7,37,Night
2989,13.4,0.0,0.0,3.9,112,Night
5426,13.4,0.0,0.0,3.9,112,Night
1815,13.9,0.0,0.0,6.0,17,Night
2001,15.3,0.0,0.0,3.6,37,Night
2689,15.3,0.0,0.0,3.6,37,Night
2985,13.9,0.0,0.0,5.8,30,Night
5632,14.0,0.0,0.0,5.8,30,Night
5634,13.9,0.0,0.0,5.8,30,Night
5231,10.1,0.0,0.0,7.2,72,Night
4171,17.3,0.0,0.0,7.3,340,Night
2002,8.4,0.0,0.0,4.0,80,Night
1941,15.9,0.0,0.0,2.3,51,Night
5980,9.7,0.0,0.0,7.0,78,Night
1645,10.7,0.0,0.0,5.2,12,Night
5604,16.9,0.0,0.0,7.0,291,Night
1853,7.0,0.0,0.0,1.8,37,Night
5008,6.8,0.0,0.0,4.3,48,Night
4340,2.3,0.0,0.0,2.2,9,Night
1914,13.4,0.0,0.0,5.7,55,Night
2636,17.1,0.0,0.0,11.1,331,Night
5601,17.2,0.0,0.0,11.1,331,Night
2181,11.0,0.0,0.0,4.1,15,Night
8958,11.1,0.0,0.0,4.1,15,Night
5644,17.2,0.0,0.0,6.9,354,Night
2054,7.5,0.0,0.0,9.2,79,Night
5663,16.6,0.0,0.0,2.6,34,Night
5701,11.1,0.0,0.0,6.8,342,Night
3248,17.3,0.0,0.0,3.3,13,Night
5641,17.0,0.0,0.0,3.6,37,Night
5140,16.7,0.0,0.0,5.3,62,Night
5684,16.7,0.0,0.0,5.3,62,Night
5661,17.4,0.0,0.0,3.3,13,Night
3099,17.4,0.0,0.0,7.3,340,Night
3133,17.3,0.0,0.0,3.3,49,Night
1805,11.1,0.0,0.0,4.1,15,Night
2206,16.5,0.0,0.0,5.8,30,Night
2077,7.8,0.0,0.0,5.6,15,Night
2609,17.4,0.0,0.0,9.0,323,Night
1563,5.9,0.0,0.0,2.2,189,Night
2951,5.8,0.0,0.0,2.2,189,Night
5979,10.4,0.0,0.0,7.9,87,Night
1972,10.9,0.0,0.0,5.6,220,Night
1789,10.9,0.0,0.0,6.6,61,Night
2998,14.0,0.0,0.0,5.7,55,Night
1989,11.7,0.0,0.0,7.7,79,Night
3477,17.4,0.0,0.0,9.0,323,Night
4101,17.6,0.0,0.0,3.9,326,Night
2117,10.5,0.0,0.0,5.8,277,Night
1583,9.7,0.0,0.0,7.3,20,Night
1840,9.3,0.0,0.0,2.0,45,Night
4488,8.6,0.0,0.0,6.9,99,Night
3493,13.7,0.0,0.0,3.1,216,Night
5136,9.5,0.0,0.0,6.5,96,Night
2039,10.3,0.0,0.0,2.3,18,Night
2119,14.2,0.0,0.0,4.3,132,Night
1587,11.4,0.0,0.0,1.5,346,Night
3046,11.4,0.0,0.0,1.8,53,Night
5710,11.4,0.0,0.0,1.8,53,Night
5193,7.4,0.0,0.0,5.2,65,Night
5766,9.0,0.0,0.0,4.3,24,Night
2280,14.0,0.0,0.0,4.3,185,Night
2952,8.7,0.0,0.0,5.9,43,Night
2925,10.7,0.0,0.0,5.4,352,Night
5023,17.9,0.0,0.0,2.6,34,Night
4393,13.9,0.0,0.0,3.9,112,Night
2245,13.8,0.0,0.0,4.8,132,Night
2494,13.9,0.0,0.0,4.8,132,Night
5075,13.7,0.0,0.0,4.8,132,Night
5637,13.8,0.0,0.0,4.8,132,Night
3796,15.5,0.0,0.0,2.3,51,Night
2546,17.0,0.0,0.0,5.4,8,Night
4309,9.8,0.0,0.0,7.0,78,Night
1575,9.4,0.0,0.0,6.1,90,Night
2032,15.7,0.0,0.0,6.3,24,Night
3087,15.6,0.0,0.0,7.6,335,Night
5643,15.7,0.0,0.0,6.3,24,Night
3026,12.2,0.0,0.0,3.4,328,Night
5096,12.1,0.0,0.0,3.4,328,Night
1832,12.7,0.0,0.0,5.8,338,Night
1660,8.6,0.0,0.0,0.4,180,Night
2950,8.5,0.0,0.0,5.6,165,Night
5689,4.0,0.0,0.0,4.2,20,Night
2568,15.9,0.0,0.0,6.8,328,Night
5605,16.4,0.0,0.0,4.3,360,Night
2110,17.6,0.0,0.0,3.9,326,Night
2099,8.6,0.0,0.0,2.1,239,Night
5843,10.0,0.0,0.0,3.9,292,Night
1747,7.2,0.0,0.0,4.2,31,Night
2886,17.8,0.0,0.0,3.0,14,Night
1615,13.3,0.0,0.0,3.6,225,Night
2418,6.5,0.0,0.0,9.4,72,Night
2161,12.8,0.0,0.0,3.9,112,Night
5611,12.8,0.0,0.0,3.9,112,Night
2288,16.1,0.0,0.0,2.3,51,Night
3132,15.7,0.0,0.0,2.3,51,Night
2526,12.9,0.0,0.0,7.8,338,Night
1877,9.8,0.0,0.0,5.6,135,Night
1700,15.8,0.0,0.0,3.7,79,Night
2457,13.2,0.0,0.0,5.6,105,Night
1922,15.4,0.0,0.0,2.3,51,Night
5600,13.6,0.0,0.0,6.9,47,Night
1608,7.4,0.0,0.0,1.8,90,Night
2537,7.4,0.0,0.0,6.6,347,Night
