Store,Temperature,Rain,Snowfall,Wind Speed,Wind Direction,Is Day or Night,Predicted Impact Level,Predicted Alert,Latitude,Longitude
2070,4.8,0.0,0.0,6.9,47,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",61.1922415,-149.8796498
2071,4.8,0.0,0.0,6.9,47,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",61.1400501,-149.8711539
4359,2.3,0.0,0.0,9.1,7,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",61.2121651,-149.7433718
2188,1.7,0.0,0.0,9.1,7,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",61.3090829,-149.5355448
2722,-1.6,0.0,0.0,8.6,68,0,Medium,"Cold weather advisory. Ensure heating and place extra mats at entrances to prevent slips.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",64.8585949,-147.690644
4474,3.4,0.0,0.0,31.1,30,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",60.5641782,-151.2252214
2710,8.8,0.5,0.0,10.8,116,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",55.3755085,-131.7204031
2711,6.3,0.0,0.0,7.6,161,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",57.8123723,-152.3650477
2074,4.1,0.0,0.0,18.2,52,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",61.5966955,-149.3600425
1158,20.4,0.0,0.0,9.0,90,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",33.5792471,-86.9246754
726,18.5,0.0,0.0,8.9,76,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",32.941003,-85.98037
329,17.7,0.0,0.0,7.1,105,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",33.7204589,-85.8194622
306,18.3,0.0,0.0,8.3,72,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",34.340787,-86.503582
661,20.3,0.0,0.0,13.5,46,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",34.788646,-86.9587912
316,18.3,0.0,0.0,6.3,59,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",33.9968725,-86.0972963
356,21.4,0.0,0.0,10.1,63,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",32.5749405,-85.4987209
4673,21.2,0.0,0.0,10.1,63,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",32.6304484,-85.4954794
5062,21.1,0.0,0.0,10.3,65,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",32.6247065,-85.4502471
762,21.8,0.0,0.0,8.3,85,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",33.590204,-86.70022
1711,21.8,0.0,0.0,8.3,85,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",33.5290247,-86.7206187
2713,17.9,0.0,0.0,7.6,82,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",33.638953,-86.629165
3424,18.9,0.0,0.0,8.2,67,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",33.381942,-86.743113
4504,20.8,0.0,0.0,8.6,88,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",33.4678591,-86.8215825
5100,19.0,0.0,0.0,8.3,90,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",33.637368,-86.684495
298,18.3,0.0,0.0,12.0,69,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",34.214298,-86.156293
5126,17.8,0.0,0.0,6.2,69,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",34.1628465,-85.7125857
4330,18.7,0.0,0.0,7.8,56,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",33.355379,-86.569367
670,18.9,0.0,0.0,10.8,75,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",34.149168,-86.8420593
7280,18.4,0.0,0.0,10.8,75,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",34.206914,-86.873162
662,19.9,0.0,0.0,8.9,63,0,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks.",34.5545643,-87.0001138
