Store,Address,City,State,Zip Code,Phone,Latitude,Longitude,Temperature,Is Day or Night,Rain,Snowfall,Wind Speed,Wind Direction,Impact Level,Alerts
2070,3101 A ST,ANCHORAGE,AK,99503-4050,(907) 563-5900,61.1922415,-149.8796498,-2,Night,0,6.72,2.3,288,Medium,"Cold weather advisory. Ensure heating and place extra mats at entrances to prevent slips.
Low visibility at night with rain/snow. Increase outdoor lighting and clear entrances.
No significant rain-related risks.
Snow expected. Clear paths and entrances, and check salt supplies.
No significant wind-related risks.
No combined severe weather risks."
2071,8900 OLD SEWARD HWY,ANCHORAGE,AK,99515-2022,(907) 344-5300,61.1400501,-149.8711539,-2,Night,0,6.72,2.3,288,Medium,"Cold weather advisory. Ensure heating and place extra mats at entrances to prevent slips.
Low visibility at night with rain/snow. Increase outdoor lighting and clear entrances.
No significant rain-related risks.
Snow expected. Clear paths and entrances, and check salt supplies.
No significant wind-related risks.
No combined severe weather risks."
4359,7405 DEBARR ROAD,ANCHORAGE,AK,99504-0000,(907) 339-9039,61.2121651,-149.7433718,-1.9,Night,0,4.76,5.2,236,Medium,"Cold weather advisory. Ensure heating and place extra mats at entrances to prevent slips.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks."
2188,18600 EAGLE RIVER RD,EAGLE RIVER,AK,99577-8688,(907) 694-9780,61.3090829,-149.5355448,-2.5,Night,0,4.76,5.2,236,Medium,"Cold weather advisory. Ensure heating and place extra mats at entrances to prevent slips.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks."
2722,537 JOHANSEN EXPY,FAIRBANKS,AK,99701-3165,(907) 451-9900,64.8585949,-147.690644,-7.4,Night,0,0.35,8.6,22,Medium,"Cold weather advisory. Ensure heating and place extra mats at entrances to prevent slips.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks."
4474,10096 KENAI SPUR HWY,KENAI,AK,99611-7807,(907) 395-0971,60.5641782,-151.2252214,0.2,Night,0.2,7.91,1,315,Medium,"No significant temperature-related risks.
Low visibility at night with rain/snow. Increase outdoor lighting and clear entrances.
No significant rain-related risks.
Snow expected. Clear paths and entrances, and check salt supplies.
No significant wind-related risks.
No combined severe weather risks."
2710,4230 DON KING RD,KETCHIKAN,AK,99901-9047,(907) 247-2156,55.3755085,-131.7204031,4.4,Night,0.4,0,5,69,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks."
2711,2911 MILL BAY RD,KODIAK,AK,99615-7809,(907) 481-1670,57.8123723,-152.3650477,4.2,Night,17.6,0,18.4,312,Medium,"No significant temperature-related risks.
Low visibility at night with rain/snow. Increase outdoor lighting and clear entrances.
Light rain expected. Place mats at entrances and caution employees and customers to prevent slips.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks."
2074,1350 S SEWARD MERIDIAN PKWY,WASILLA,AK,99654-8332,(907) 376-9780,61.5966955,-149.3600425,-1.5,Night,0,0.21,5.4,233,Medium,"Cold weather advisory. Ensure heating and place extra mats at entrances to prevent slips.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks."
1158,2473 HACKWORTH RD,ADAMSVILLE,AL,35214-1909,(205) 798-9721,33.5792471,-86.9246754,20.2,Night,0.2,0,6.5,71,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks."
726,2643 HIGHWAY 280,ALEXANDER CITY,AL,35010-3675,(256) 234-0316,32.941003,-85.98037,18.3,Night,0,0,8.4,121,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks."
329,5560 MCCLELLAN BLVD,ANNISTON,AL,36206-1664,(256) 820-3326,33.7204589,-85.8194622,21.3,Night,0,0,9.7,158,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks."
306,1450 N BRINDLEE MOUN,ARAB,AL,35016-0000,(256) 586-8168,34.340787,-86.503582,19.2,Night,4.2,0,10.5,153,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks."
661,1011 US HIGHWAY 72 E,ATHENS,AL,35611-4319,(256) 230-2981,34.788646,-86.9587912,18.3,Night,1.9,0,12.5,136,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks."
316,973 GILBERT FERRY RD SE,ATTALLA,AL,35954-3339,(256) 538-3811,33.9968725,-86.0972963,20.3,Night,0,0,6.1,332,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks."
356,1717 S COLLEGE ST,AUBURN,AL,36832-5870,(334) 821-2493,32.5749405,-85.4987209,18.1,Night,0,0,8.4,100,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks."
4673,1810 SHUG JORDAN PKWY,AUBURN,AL,36830-2926,(334) 539-6318,32.6304484,-85.4954794,16.8,Night,0,0,5.2,106,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks."
5062,2047 E UNIVERSITY DR,AUBURN,AL,36830-3336,(334) 539-6214,32.6247065,-85.4502471,17.2,Night,0,0,7.8,124,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks."
762,9248 PARKWAY E,BIRMINGHAM,AL,35206-1509,(205) 833-7676,33.590204,-86.70022,22.3,Night,0.1,0,8.7,128,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks."
1711,1600 MONTCLAIR RD,BIRMINGHAM,AL,35210-2410,(205) 956-0416,33.5290247,-86.7206187,21.6,Night,0.2,0,9.8,114,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks."
2713,5919 TRUSSVILLE CROSSINGS PKWY,BIRMINGHAM,AL,35235-8635,(205) 661-1957,33.638953,-86.629165,21.7,Night,0.1,0,10,120,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks."
3424,2653 VALLEYDALE ROAD,BIRMINGHAM,AL,35244-2026,(205) 582-6183,33.381942,-86.743113,22.1,Night,0.3,0,8.9,148,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks."
4504,312 PALISADES BLVD,BIRMINGHAM,AL,35209-5148,(205) 870-8101,33.4678591,-86.8215825,21.5,Night,0.1,0,3.3,103,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks."
5100,1916 CENTER POINT PKWY,BIRMINGHAM,AL,35215-4512,(205) 520-0269,33.637368,-86.684495,22,Night,0.1,0,7.4,129,Low,"No significant temperature-related risks.
No visibility-related risks at night.
No significant rain-related risks.
No significant snowfall-related risks.
No significant wind-related risks.
No combined severe weather risks."
